id,seccion,descripcion,unidad,precio_gs,fuente_edicion
603,AISLACION HIDROFUGA,Asfalkote + velo sobre base,m²,17000.0,N°514 Mar 2026
607,AISLACION HIDROFUGA,Azotada hidrófuga + Pintura asfáltica,m²,25000.0,N°514 Mar 2026
605,AISLACION HIDROFUGA,"Azotada hidrófuga, pintura asfáltica y panderete",m²,42000.0,N°514 Mar 2026
596,AISLACION HIDROFUGA,"De 0,15 m",ml,5000.0,N°514 Mar 2026
598,AISLACION HIDROFUGA,"De 0,15 m",ml,11000.0,N°514 Mar 2026
597,AISLACION HIDROFUGA,"De 0,30 m",ml,7000.0,N°514 Mar 2026
599,AISLACION HIDROFUGA,"De 0,30 m",ml,16000.0,N°514 Mar 2026
600,AISLACION HIDROFUGA,"De losa/techo plano incluye: contrapiso (7cm), carpeta, pintura asfáltica, colocación membrana o velo de vidrio y piso de tejuelita",m²,74000.0,N°514 Mar 2026
604,AISLACION HIDROFUGA,Membrana asfáltica,m²,16000.0,N°514 Mar 2026
606,AISLACION HIDROFUGA,Pintura asfáltica + trama,m²,25000.0,N°514 Mar 2026
602,AISLACION HIDROFUGA,Pintura asfáltica + trama sobre base,m²,17000.0,N°514 Mar 2026
601,AISLACION HIDROFUGA,"Rebaje de losa p/ baño o cocina incluye: contrapiso, carpeta, velo, pintura asfáltica",m²,32000.0,N°514 Mar 2026
837,CARPINTERIA DE ALUMINIO,Chico 1 m²,un,68000.0,N°514 Mar 2026
840,CARPINTERIA DE ALUMINIO,Extra grande 5 m²,un,160000.0,N°514 Mar 2026
839,CARPINTERIA DE ALUMINIO,Grande 4 m²,un,135000.0,N°514 Mar 2026
838,CARPINTERIA DE ALUMINIO,Mediano 3 m²,un,98000.0,N°514 Mar 2026
848,CARPINTERIA DE MADERA,Contramarco,ml,11000.0,N°514 Mar 2026
841,CARPINTERIA DE MADERA,"De marco mayor de 1,00 m",un,120000.0,N°514 Mar 2026
842,CARPINTERIA DE MADERA,"De marco menor de 1,00 m",un,90000.0,N°514 Mar 2026
849,CARPINTERIA DE MADERA,"Pergolado, montaje",un,90000.0,N°514 Mar 2026
844,CARPINTERIA DE MADERA,Puerta persiana o vidriera chica,hoja,50000.0,N°514 Mar 2026
843,CARPINTERIA DE MADERA,Puerta placa,hoja,100000.0,N°514 Mar 2026
845,CARPINTERIA DE MADERA,Puerta tablero,un,69000.0,N°514 Mar 2026
846,CARPINTERIA DE MADERA,"Puerta tablero principal (hoja, manijón y visor)",un,135000.0,N°514 Mar 2026
847,CARPINTERIA DE MADERA,"Ventana persiana o vidriera 0,65 x 1,00 m",un,40000.0,N°514 Mar 2026
858,CARPINTERIA METALICA,Balancín chico 40x40 cm sin revoque,un,50000.0,N°514 Mar 2026
860,CARPINTERIA METALICA,"Balancín grande 2,00x1,80 m sin revoque",un,105000.0,N°514 Mar 2026
859,CARPINTERIA METALICA,"Balancín med 1,00x1,50 m sin revoque",un,80000.0,N°514 Mar 2026
862,CARPINTERIA METALICA,Baranda de escalera metálica,ml,25000.0,N°514 Mar 2026
867,CARPINTERIA METALICA,"Colocación de ángulos metálicos, cantoneras",ml,10000.0,N°514 Mar 2026
854,CARPINTERIA METALICA,De guías metálicas y taparollo p/ cortina de enrollar,un,280000.0,N°514 Mar 2026
850,CARPINTERIA METALICA,"De marco chapa doblada 0,80x2,10 m",un,70000.0,N°514 Mar 2026
851,CARPINTERIA METALICA,"De marco chapa doblada 1,50x1,20 m",un,95000.0,N°514 Mar 2026
852,CARPINTERIA METALICA,De marco chapa doblada con relleno,un,95000.0,N°514 Mar 2026
853,CARPINTERIA METALICA,De marco metálico – ángulo,un,70000.0,N°514 Mar 2026
856,CARPINTERIA METALICA,De reja de hierro aplicada a la pared,un,65000.0,N°514 Mar 2026
855,CARPINTERIA METALICA,De reja de hierro entre marcos,un,47000.0,N°514 Mar 2026
864,CARPINTERIA METALICA,Escalera metálica,un,65000.0,N°514 Mar 2026
863,CARPINTERIA METALICA,Pasamanos,ml,19000.0,N°514 Mar 2026
861,CARPINTERIA METALICA,"Portón cochera de 3,00x1,50 m",un,200000.0,N°514 Mar 2026
857,CARPINTERIA METALICA,"Portón de hierro 1,00x1,50 m",un,120000.0,N°514 Mar 2026
865,CARPINTERIA METALICA,Puerta metálica corta fuego,un,185000.0,N°514 Mar 2026
866,CARPINTERIA METALICA,Puerta metálica mosquitera,un,110000.0,N°514 Mar 2026
491,CASILLA OBRADOR,Barraca para depósito,m²,90000.0,N°514 Mar 2026
490,CASILLA OBRADOR,"Casilla habitable, baños y vestuarios",m²,200000.0,N°514 Mar 2026
669,CIELO RASO,Cornisa,ml,4000.0,N°514 Mar 2026
668,CIELO RASO,"De machimbre de 1 x 3"" no incluye cornisa",m²,47000.0,N°514 Mar 2026
667,CIELO RASO,"De machimbre de 1/2 x 3"" no incluye cornisa",m²,42000.0,N°514 Mar 2026
666,CIELO RASO,"De metal desplegado, sin revoque",m²,40000.0,N°514 Mar 2026
786,COLOCACION ARTEFACTOS,"Accesorios de baño (jabonera, percha, etc.)",un,24000.0,N°514 Mar 2026
778,COLOCACION ARTEFACTOS,Artefactos sanitarios x boca,bc,125000.0,N°514 Mar 2026
784,COLOCACION ARTEFACTOS,Bañera común,un,340000.0,N°514 Mar 2026
785,COLOCACION ARTEFACTOS,Bañera hidromasaje,un,560000.0,N°514 Mar 2026
779,COLOCACION ARTEFACTOS,"Baño completo, 125.000 x 4 =",un,500000.0,N°514 Mar 2026
780,COLOCACION ARTEFACTOS,"Baño de servicio, 125.000 x 2 =",un,250000.0,N°514 Mar 2026
781,COLOCACION ARTEFACTOS,"Baño social, 125.000 x 2 =",un,250000.0,N°514 Mar 2026
787,COLOCACION ARTEFACTOS,Colocación de calefón,un,190000.0,N°514 Mar 2026
788,COLOCACION ARTEFACTOS,Colocación de ducha eléctrica,un,35000.0,N°514 Mar 2026
782,COLOCACION ARTEFACTOS,Pileta de cocina,un,130000.0,N°514 Mar 2026
783,COLOCACION ARTEFACTOS,Pileta de lavar,un,130000.0,N°514 Mar 2026
617,CONTRAPISOS (no incluye alisada),Apisonado de H° cascotes con varilla,m²,22000.0,N°514 Mar 2026
619,CONTRAPISOS (no incluye alisada),Apisonado sobre losa H° A° e=6 cm,m²,14000.0,N°514 Mar 2026
618,CONTRAPISOS (no incluye alisada),Apisonado sobre losa H° A° e=7 cm,m²,15000.0,N°514 Mar 2026
620,CONTRAPISOS (no incluye alisada),"Contrapiso de H° A°, e=7 cm",m²,35000.0,N°514 Mar 2026
614,CONTRAPISOS (no incluye alisada),De 10 cm sobre terreno natural,m²,19000.0,N°514 Mar 2026
615,CONTRAPISOS (no incluye alisada),"De 10 cm, con pendiente",m²,22000.0,N°514 Mar 2026
616,CONTRAPISOS (no incluye alisada),De 20 cm,m²,28000.0,N°514 Mar 2026
613,CONTRAPISOS (no incluye alisada),De 8 cm sobre terreno natural,m²,16000.0,N°514 Mar 2026
464,DEMOLICIONES,"De 0,15 m",m²,19000.0,N°514 Mar 2026
467,DEMOLICIONES,"De 0,15 m",m²,12000.0,N°514 Mar 2026
463,DEMOLICIONES,"De 0,30 m",m²,26000.0,N°514 Mar 2026
466,DEMOLICIONES,"De 0,30 m",m²,18000.0,N°514 Mar 2026
462,DEMOLICIONES,"De 0,45 m",m²,34000.0,N°514 Mar 2026
465,DEMOLICIONES,"De 0,45 m",m²,21000.0,N°514 Mar 2026
483,DEMOLICIONES VARIAS,"Abrir vano en mampostería de 0,15 m",m²,28000.0,N°514 Mar 2026
484,DEMOLICIONES VARIAS,"Abrir vano en mampostería de 0,30 m",m²,42000.0,N°514 Mar 2026
472,DEMOLICIONES VARIAS,De cielorraso armado (desmontar),m²,22000.0,N°514 Mar 2026
475,DEMOLICIONES VARIAS,De contrapiso (cuando no hay piso),m²,5000.0,N°514 Mar 2026
473,DEMOLICIONES VARIAS,De losa de H° A°,m²,60000.0,N°514 Mar 2026
474,DEMOLICIONES VARIAS,De piso/revoque/revestimiento,m²,11000.0,N°514 Mar 2026
471,DEMOLICIONES VARIAS,De techo bovedilla,m²,32000.0,N°514 Mar 2026
470,DEMOLICIONES VARIAS,De techo de chapa,m²,10000.0,N°514 Mar 2026
468,DEMOLICIONES VARIAS,De techo de teja con recuperación,m²,28000.0,N°514 Mar 2026
469,DEMOLICIONES VARIAS,De techo de teja sin recuperación,m²,16000.0,N°514 Mar 2026
481,DEMOLICIONES VARIAS,Desmontar Aire Acondicionado,un,91000.0,N°514 Mar 2026
478,DEMOLICIONES VARIAS,Desmontar artefactos sanitarios,un,42000.0,N°514 Mar 2026
482,DEMOLICIONES VARIAS,Desmontar electricidad (boca),bc,6000.0,N°514 Mar 2026
480,DEMOLICIONES VARIAS,"Desmontar mamparas (Durlock, Duratec, etc.)",m²,28000.0,N°514 Mar 2026
479,DEMOLICIONES VARIAS,Desmontar marcos y balancines,un,40000.0,N°514 Mar 2026
477,DEMOLICIONES VARIAS,Sacar azulejos,m²,9000.0,N°514 Mar 2026
476,DEMOLICIONES VARIAS,Sacar zócalo,m²,2000.0,N°514 Mar 2026
757,DESAGUES,Baño completo con bañera,un,410000.0,N°514 Mar 2026
756,DESAGUES,Baño completo standard,un,340000.0,N°514 Mar 2026
758,DESAGUES,Baño de servicio,un,240000.0,N°514 Mar 2026
759,DESAGUES,Baño social,un,170000.0,N°514 Mar 2026
750,DESAGUES,Boca desagüe abierta 30x30 cm,un,70000.0,N°514 Mar 2026
751,DESAGUES,Boca desagüe abierta 40x40 cm,un,70000.0,N°514 Mar 2026
762,DESAGUES,Caño H° 100 cm,ml,130000.0,N°514 Mar 2026
764,DESAGUES,Caño H° 60 cm,ml,85000.0,N°514 Mar 2026
763,DESAGUES,Caño H° 80 cm,ml,100000.0,N°514 Mar 2026
741,DESAGUES,Caño H° armado 100 cm,ml,90000.0,N°514 Mar 2026
740,DESAGUES,Caño H° armado 80 cm,ml,75000.0,N°514 Mar 2026
736,DESAGUES,Caño H° centrifugado 30 cm,ml,28000.0,N°514 Mar 2026
737,DESAGUES,Caño H° centrifugado 40 cm,ml,35000.0,N°514 Mar 2026
738,DESAGUES,Caño H° centrifugado 50 cm,ml,36000.0,N°514 Mar 2026
739,DESAGUES,Caño H° centrifugado 60 cm,ml,48000.0,N°514 Mar 2026
767,DESAGUES,"Caño PVC 1""",ml,17000.0,N°514 Mar 2026
769,DESAGUES,Caño PVC 1/2,ml,9000.0,N°514 Mar 2026
734,DESAGUES,Caño PVC 100 mm,ml,25000.0,N°514 Mar 2026
735,DESAGUES,Caño PVC 150 mm,ml,33000.0,N°514 Mar 2026
768,DESAGUES,Caño PVC 3/4,ml,14000.0,N°514 Mar 2026
732,DESAGUES,Caño PVC 40 mm,ml,15000.0,N°514 Mar 2026
733,DESAGUES,Caño PVC 50 mm,ml,15000.0,N°514 Mar 2026
753,DESAGUES,Cámara de drenaje 60x60 cm,un,170000.0,N°514 Mar 2026
754,DESAGUES,"Cámara séptica (1,00x1,60x1,20 m) con excavación",un,1100000.0,N°514 Mar 2026
747,DESAGUES,Desagüe abierto con rejilla 20 x 20,ml,50000.0,N°514 Mar 2026
