id,seccion,descripcion,unidad,precio_gs,fuente_edicion
527,ABERTURAS,"Balancín 0,60 x 0,40m",un,105000.0,N°514 Mar 2026
518,ABERTURAS,"De 0,80 m",un,530000.0,N°514 Mar 2026
520,ABERTURAS,"De 0,80 m",un,430000.0,N°514 Mar 2026
519,ABERTURAS,"De 0,90 m",un,560000.0,N°514 Mar 2026
521,ABERTURAS,"De 0,90 m",un,445000.0,N°514 Mar 2026
522,ABERTURAS,"De 1,20 m ancho",un,500000.0,N°514 Mar 2026
524,ABERTURAS,"De 1,20 m ancho",un,460000.0,N°514 Mar 2026
517,ABERTURAS,"De 15 cm, recto",ml,55000.0,N°514 Mar 2026
523,ABERTURAS,De 150 m ancho,un,515000.0,N°514 Mar 2026
525,ABERTURAS,De 150 m ancho,un,480000.0,N°514 Mar 2026
502,ABERTURAS,De cedro,un,350000.0,N°514 Mar 2026
504,ABERTURAS,De cedro,un,380000.0,N°514 Mar 2026
515,ABERTURAS,De cedro liso,m,9000.0,N°514 Mar 2026
516,ABERTURAS,De cedro moldurado,m,15000.0,N°514 Mar 2026
505,ABERTURAS,De eucalipto,un,220000.0,N°514 Mar 2026
503,ABERTURAS,De eucalipto/cupay,un,180000.0,N°514 Mar 2026
510,ABERTURAS,Lisa,m2,400000.0,N°514 Mar 2026
507,ABERTURAS,Persiana fija,m2,600000.0,N°514 Mar 2026
512,ABERTURAS,Persiana fija,m2,600000.0,N°514 Mar 2026
506,ABERTURAS,Tablero standard de eucalipto,un,950000.0,N°514 Mar 2026
511,ABERTURAS,"Tablero, punta diamante moldura c/ cedro de 1ra",m2,1550000.0,N°514 Mar 2026
526,ABERTURAS,Ventana proyectante con reja 0.60 x 0.40m,un,160000.0,N°514 Mar 2026
508,ABERTURAS,Vidriera cuadrille,m2,600000.0,N°514 Mar 2026
513,ABERTURAS,Vidriera cuadrille,m2,600000.0,N°514 Mar 2026
509,ABERTURAS,Vidriera sencilla,m2,400000.0,N°514 Mar 2026
514,ABERTURAS,Vidriera sencilla,m2,400000.0,N°514 Mar 2026
533,AISLANTES TERMOACÚSTICOS,"Lana de roca c/ aluminio, 6m x 1,20 m x 50 mm",un,550000.0,N°514 Mar 2026
534,AISLANTES TERMOACÚSTICOS,"Lana de roca s/ aluminio, 8m x 1,20 m x 50 mm",un,480000.0,N°514 Mar 2026
535,AISLANTES TERMOACÚSTICOS,"Poliestireno Extruido 25mm – placa 0,60 x 1,20 m",un,72000.0,N°514 Mar 2026
532,AISLANTES TERMOACÚSTICOS,Premium Alpine 30 mm (61 x 61 cm),m²,275000.0,N°514 Mar 2026
528,AISLANTES TERMOACÚSTICOS,Pro Alpine 30 mm,m²,178000.0,N°514 Mar 2026
529,AISLANTES TERMOACÚSTICOS,Pro Alpine 50 mm,m²,282000.0,N°514 Mar 2026
530,AISLANTES TERMOACÚSTICOS,Pro Arabian 30 mm,m²,178000.0,N°514 Mar 2026
531,AISLANTES TERMOACÚSTICOS,Pro Pirámide 30 mm,m²,198000.0,N°514 Mar 2026
560,ALAMBRES,"Acerado N° 17/15, rollo 1000m",un,780000.0,N°514 Mar 2026
562,ALAMBRES,Galvanizado N° 20,kg,16800.0,N°514 Mar 2026
561,ALAMBRES,"Galvanizado N° 9, 12, 14",kg,17000.0,N°514 Mar 2026
563,ALAMBRES,Negro de atar N° 18,kg,18000.0,N°514 Mar 2026
536,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Alisadora de H° (Honda-Lifan),,192500.0,N°514 Mar 2026
537,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,"Amoladora o cortadoras para cerámica de 9"" (Bosch)",,66000.0,N°514 Mar 2026
539,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,"Andamio Acrow (alt. 1,85 largo 2.50 - ancho 1.20 mts)",,4180.0,N°514 Mar 2026
538,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,"Andamio ER (alt. 1,50 largo 1.80 - ancho 1.10 mts)",,3960.0,N°514 Mar 2026
540,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Aparejo con roldana,,22000.0,N°514 Mar 2026
541,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Balancín para trabajo en altura,,38500.0,N°514 Mar 2026
542,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Bomba de agua sumergible de 1 HP monofásica,,134000.0,N°514 Mar 2026
543,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,"Bomba de agua sumergible de 1,5 o 2 HP monofásica",,176000.0,N°514 Mar 2026
544,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Bomba de agua sumergible de 2-3-4 y 5 HP trifásica,,242000.0,N°514 Mar 2026
545,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Carretilla,,37500.0,N°514 Mar 2026
546,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Carro cuna,,29150.0,N°514 Mar 2026
547,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,"Cerco metálico – altura 2,10m – largo 2,40m",,5000.0,N°514 Mar 2026
548,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Cinturón de seguridad de cuero o nylon,,11000.0,N°514 Mar 2026
549,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Compresor de aire de 140 lt o 200 lt,,550000.0,N°514 Mar 2026
550,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Cortadora de hormigón,,310000.0,N°514 Mar 2026
551,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Escalera doble de madera (3-3.5-4-4.5 mts),,29700.0,N°514 Mar 2026
552,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Escalera extendible de aluminio,,48300.0,N°514 Mar 2026
553,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Escalera extendible de fibra de vidrio,,58300.0,N°514 Mar 2026
554,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Escalera para andamio,,18000.0,N°514 Mar 2026
555,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Estabilizador para módulos,,3125.0,N°514 Mar 2026
556,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Generador de corriente monofásica 5 y 6 KVA,,198000.0,N°514 Mar 2026
557,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Hidrolavadora,,110000.0,N°514 Mar 2026
559,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Hormigonera 130 lts monofásica,,88000.0,N°514 Mar 2026
558,ALQUILER Y VENTA DE EQUIPOS Y MÁQUINAS,Hormigonera 90 lts monofásica,,66000.0,N°514 Mar 2026
