capitulo,total,servicios,traducidos,alta,media,baja,no_aplica,pct_traducido
02. Serviços Iniciais,532,108,532,352,53,92,35,100
04. Infraestrutura,1159,313,1159,661,202,238,58,100
05. Superestrutura,2023,637,2023,1416,348,160,99,100
"06. Alvenarias, fechamentos e divisórias",1734,443,1734,1258,283,93,100,100
09. Coberturas,638,117,638,465,78,90,5,100
10. Impermeabilização,277,48,277,191,48,17,21,100
11. Isolamento térmico e acústico,63,13,37,32,2,0,3,58
12. Esquadrias,778,143,778,537,113,60,68,100
13. Sistemas hidráulicos,7415,1402,7415,5696,918,746,55,100
15. Sistemas de prevenção e combate a incêndio,66,10,35,34,0,0,1,53
16. Sistemas elétricos,5204,924,5204,2656,1469,1000,79,100
"17. Automação, sistemas de telecomunicação e segurança",235,51,134,130,2,0,2,57
18. Sistemas de proteção contra descargas atmosféricas,49,9,21,20,0,1,0,42
"19. Ar condicionado, ventilação e exaustão",641,147,304,294,10,0,0,47
20. Revestimentos de superfícies,365,160,365,280,58,25,2,100
21. Forros,147,25,147,112,19,16,0,100
22. Pisos,626,186,626,392,128,74,32,100
23. Revestimentos de paredes,244,70,244,130,89,25,0,100
24. Pinturas,267,51,267,200,37,29,1,100
"26. Louças, metais e acessórios sanitários",377,56,167,160,1,1,5,44
27. Vidros,214,35,2,2,0,0,0,0
30. Urbanização e serviços externos,5992,2311,3648,3100,479,32,47,60
31. Transporte,34,16,4,4,0,0,0,11
32. Serviços complementares e apoio,194,31,143,114,11,6,12,73
36. Equipamentos,10869,0,3601,1587,978,927,109,33
